Altium Designer Pick and Place Locations
C:\Users\topolonelli\Documents\Students\dw3000-triangulation-hardware\DW3120\Project Outputs for DW3120\Pick Place for PCB1_Layout_Final(Variant of DW3120).csv

========================================================================================================================
File Design Information:

Date:       16/04/24
Time:       18:28
Revision:   621dbf0b6802f71511bb81f0ffb4bdea26da42fc
Variant:    Variant of DW3120
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Variation"
"*1","EN_VDD3","TopLayer","Pad-0.6mm","11.7000","24.6000","0","0.6mm SMT Test Pad","Fitted"
"*2","RXOK","TopLayer","Pad-1mm","23.9750","26.5000","0","1mm SMT Test Pad","Fitted"
"*3","SFD_OK","TopLayer","Pad-1mm","23.0500","28.4000","0","1mm SMT Test Pad","Fitted"
"*4","VDD3","TopLayer","Pad-0.6mm","21.1000","19.4000","0","0.6mm SMT Test Pad","Fitted"
"*5","VDD","TopLayer","Pad-1mm","10.8257","3.8000","0","1mm SMT Test Pad","Fitted"
"*6","AVDD","TopLayer","Pad-1mm","12.2257","8.0000","90","1mm SMT Test Pad","Fitted"
"A1","Logo ETH Zurich","TopLayer","eth-zurich_3mm","-25.4000","-25.4000","90","","Fitted"
"C1","GJM0335C1E2R0WB01D","TopLayer","FP-GJM033-0_03-IPC_B","9.9750","32.7000","180","Ceramic Capacitor 2pF ±0.05pF 25V C0G 0201 (0603 Metric)","Fitted"
"C2","GJM0335C1E2R0WB01D","TopLayer","FP-GJM033-0_03-IPC_B","21.5250","32.7000","0","Ceramic Capacitor 2pF ±0.05pF 25V C0G 0201 (0603 Metric)","Fitted"
"C3","GRM155R71C224KA12D","TopLayer","FP-GRM155-0_05-IPC_C","11.1000","27.9000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.22uF, X7R, 15%, 10%, 16V","Fitted"
"C4","GJM1555C1H3R3BB01D","TopLayer","FP-GJM155-0_05-IPC_C","5.1000","27.8000","0","Multi-Layer Ceramic Capacitor 3.3pF C0G  ±0.1pF 0402 Paper T/R","Fitted"
"C5","GJM1555C1H3R3BB01D","TopLayer","FP-GJM155-0_05-IPC_C","8.0520","30.9306","0","Multi-Layer Ceramic Capacitor 3.3pF C0G  ±0.1pF 0402 Paper T/R","Fitted"
"C6","GRM155R71E104ME14D","TopLayer","FP-GRM155-0_05-IPC_B","18.0000","24.5000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 20%, 25V","Fitted"
"C7","GRM155R60J106ME47D","TopLayer","FP-GRM155-0_2-0_1-IPC_C","8.2110","26.1000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 10uF, X5R, 15%, 20%, 6.3V","Fitted"
"C8","GRM155R71E104ME14D","TopLayer","FP-GRM155-0_05-IPC_B","8.1714","27.5000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 20%, 25V","Fitted"
"C9","GRM1555C1H472GE01D","TopLayer","FP-GRM155-0_15-IPC_B","8.2000","28.7000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4700pF, C0G, 30ppm/°C, 2%, 50V","Fitted"
"C10","GRM1555C1H472GE01D","TopLayer","FP-GRM155-0_15-IPC_B","11.5000","26.3501","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4700pF, C0G, 30ppm/°C, 2%, 50V","Fitted"
"C11","GRM155R71E104ME14D","TopLayer","FP-GRM155-0_05-IPC_B","9.9000","23.6714","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 20%, 25V","Fitted"
"C12","GRM1555C1H472GE01D","TopLayer","FP-GRM155-0_15-IPC_B","11.1750","29.0250","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4700pF, C0G, 30ppm/°C, 2%, 50V","Fitted"
"C13","GRM155C80J475MEAAD","TopLayer","FP-GRM155-0_15-IPC_B","20.7000","12.6000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4.7uF, X6S, 22%, 20%, 6.3V","Fitted"
"C14","GRM155R60J106ME47D","TopLayer","FP-GRM155-0_2-0_1-IPC_C","19.2000","17.7000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 10uF, X5R, 15%, 20%, 6.3V","Fitted"
"C15","GRM155R71E104ME14D","TopLayer","FP-GRM155-0_05-IPC_B","19.2000","19.4000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 20%, 25V","Fitted"
"C16","GRM21BR60J107ME15L","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_A","4.9257","6.2000","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 100uF, X5R, 15%, 20%, 6.3V","Fitted"
"C17","GRM155R60J475ME47D","TopLayer","FP-GRM155-0_1-IPC_B","7.2257","6.8000","270","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4.7uF, X5R, 15%, 20%, 6.3V","Fitted"
"C18","GRM155R60J475ME47D","TopLayer","FP-GRM155-0_1-IPC_B","9.1257","3.8000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 4.7uF, X5R, 15%, 20%, 6.3V","Fitted"
"C19","GRM1555C1H102JA01D","TopLayer","FP-GRM155-0_05-IPC_B","14.4257","3.8000","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V","Fitted"
"C20","GRM155R71E104ME14D","TopLayer","FP-GRM155-0_05-IPC_B","14.4257","5.6000","180","Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 0.10uF, X7R, 15%, 20%, 25V","Fitted"
